tweet,sentiment
passengers on this plane I shouldve just grabbed my baggage and gave it its own seat,neutral
Trying to rebook a flight with you because of Cancelled Flightlation is a nightmare I was hung up on once Can you help me rebook,negative
DTW to LAG at Flight Cancelled Flightled with no notice Given a voucher to a dirty hotel with no food vouchers or apology,negative
flying w infant for the st time can I bring a canister of powder formula for a carry on andor use my plastic formula divider,neutral
having trouble with Wifi No matter what I get redirected back to getconnected page even though it says Im connected,negative
Will the nightmare ever end Just found out our flight today is delayed due to ground handling delays affecting a prior flight,negative
theres only one flt PHLCRW per day,neutral
thanks for reaching out to me My Gold Div no kj My Flights were changed under Confirmation DNXV,positive
all good didnt die or anything As they say you get what you pay for,negative
when I check in tomorrow morning for my flight on wens can I automatically add it to passbook,neutral
Companion Pass Because everyone deserves RedCarpet treatment and a even if its your mom,positive
I better get a free flight,negative
my son left his tablet on plane Am out of country and can not call easily Is there an email to contact,negative
I picked the nonstop flight bc I had things to get to Shouldve taken diff route or airline I suppose,negative
Your system is affected by the weather,negative
I want to love you minutes on hold Help me understand why I switched loyalty programs,negative
rebooked This one is Late Flight too,negative
my flight was at pm Still at the airport gee what service Do they care nope Delayed until,negative
will all flights out of DFW be Cancelled Flightled today,neutral
feeling poor on the churchmouse level here dollars is enough to make a grown man cry Im not a grown man but tears happened,negative
being stuck two days in the airport is not something pretty normal I am positive you can find a plane to Europe,negative
so far no call back,negative
also didnt ice the frozen metal walkway Wasted minutes because no one knew how to do simple jobs,negative
I remained on hold for hrs to resolve my flight schedule amp your system hung up on me unhappycustomer,negative
mood lighting on point Reclining my seat kickin up my feet,negative
what the hell Flight Delayed since pm finally boarded and now sitting on the tarmac Is this fampampcking plane Ever leaving,negative
Thanks for the info but have been trying for over hrs and no luck Flight dep Today Need change tomorrow or Thursday,negative
trying to charge us dollars cash for tickets we paid for months in advance isthisreal nevertoldus jetblue NeverAgain,negative
UnitedAirlines Pls Fix AspenBaggageFail issues Had to pay my own way to Aspen after flight Cancelled Flight Left us in the cold in DEN,negative
hours on the phone waiting for a call back to find my luggage shameonyou,negative
aisles of empty evermoreroom seats and we cant move bc we didnt pay nonsense Waste JetBlue jetbluebos cheap,negative
I tried to call your customer service line only to be kept in a que for over mins please hold we dont care,negative
do you operate ANY flights without maintenance issues Flights inout of DCA Cancelled Flighted this is getting old Update fleet pls,negative
day of this Saga maybe theyll finally make it homeIntentional or not it not gonna get them back there vacation days badservice,negative
Thank you but that isnt really responding to my request is it You are sending me into a generic environment on your site,negative
thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a hour layover Nice job,positive
She seems a little preoccupied thats why Im bringing it to your attention I am just flagging an issue as an observer,negative
missing my amazing us bank work conference not ok What do I do now,negative
Ive been trying to set up my phone interview for days and hoping the position wont be filled because the link doesnt work,negative
all taken care of Other then the dropped call and the total half hour wait love jetblue,negative
seriously min on the plane at bhm and now min in baggage and still no bags worstairlineever,negative
well I thought they had hours ago but just found out that no I do not have a seat,negative
please provide me your direct email for me to explain,negative
As a member of the news media the awful service of the last few days wont go unnoticed,negative
any chance they will change this to include Northeast airports JetBlue has,neutral
Disgusted with your poor customer service U wrongfully remove gt miles from my Dividend Miles and no live person,negative
couldnt have possibly messed up our trip anymore than they did Thanks for being such a terrible airline disappointed,negative
how is it that I book a flight with a reserved seat and then go to check in and find out I have no seat WTF,negative
anyone there to help Still on hold,negative
Looks like a broken link for your assets,negative
to begin DallasAustin flights in April KETR,neutral
really nigga Ur a fuck boy,negative
was there few weeks ago AWESOMEbright vibrant and NO habitrails,positive
Promotion email today Vegas and Jamaica has a defective link for the Vegas sweepstakesit times out with error,negative
this is the biggest joke Ive ever seen and will be telling everyone never to use you guys cause you are a joke,negative
